기준년도,시장 번호,시장명,카드이용자수,카드이용건수,카드이용금액,20대 이하,30대,40대,50대 이상,주말,주중,8~18시,18시~8시,데이터기준일자
2014,1,제주 동문시장,85686,174498,16901792933,8155,20183,17358,29990,2927069527,13974723406,14679209222,2152264801,2017-02-16
2015,1,제주 동문시장,143526,284223,22896627341,21888,37691,27454,41307,4496075255,18400552086,19460984705,3336297726,2017-02-16
2016,1,제주 동문시장,170819,322070,23243065598,31338,40848,32931,48011,4848489965,18394575633,19519521143,3593884845,2017-02-16
2014,2,제주 서문시장,4331,7796,515384831,296,839,912,1465,131074890,384309941,215174671,297303660,2017-02-16
2015,2,제주 서문시장,6206,11107,726668519,638,1258,1350,1963,191122250,535546269,303827369,422015150,2017-02-16
2016,2,제주 서문시장,6851,11001,721327107,864,1394,1485,1935,184353300,536973807,308540304,412181553,2017-02-16
2014,3,제주 보성시장,5529,9848,386447731,504,1295,1361,1730,84107890,302339841,259394031,127037400,2017-02-16
2015,3,제주 보성시장,6713,13112,542409651,639,1443,1690,2141,130494309,411915342,343256752,199152899,2017-02-16
2016,3,제주 보성시장,8193,14309,526394492,773,1658,2069,2651,138974942,387419550,324778142,201451800,2017-02-16
2014,4,서귀포 매일올레시장,47225,99105,7449225162,5287,13256,9586,13223,1909087820,5540137342,4816233490,2487105732,2017-02-16
2015,4,서귀포 매일올레시장,93045,192320,10891702632,16864,28768,17729,20435,2966438414,7925264218,6596379896,4137414866,2017-02-16
2016,4,서귀포 매일올레시장,129141,253271,12558053430,29087,36525,23937,26415,3644307422,8913746009,7189945721,5095388975,2017-02-16
2014,5,모슬포 중앙시장,1060,2230,218361793,79,146,267,390,24456300,193905493,183226312,35135481,2017-02-16
2015,5,모슬포 중앙시장,1879,4429,342261160,152,305,512,611,60567910,281693250,236702750,105558410,2017-02-16
2016,5,모슬포 중앙시장,2433,5454,396672609,198,407,587,851,96652470,300020139,260435874,136236735,2017-02-16
2014,6,서귀포 향토5일시장,2059,5335,529554960,43,211,515,1008,90694470,438860490,490448330,39106630,2017-02-16
2015,6,서귀포 향토5일시장,2498,6695,630593382,62,269,627,1215,110338680,520254702,572040002,58553380,2017-02-16
2016,6,서귀포 향토5일시장,4337,10739,857960895,156,791,1098,1640,196689615,661271280,671582190,186291705,2017-02-16
2014,7,제주 민속5일시장,805,1155,177846860,51,141,176,295,21354000,156492860,172986360,4830500,2017-02-16
2015,7,제주 민속5일시장,1299,1805,250818050,96,234,275,474,31375000,219443050,242391050,8427000,2017-02-16
2016,7,제주 민속5일시장,1937,2568,276304698,170,401,396,639,43749750,232554948,257779698,18525000,2017-02-16
2014,8,중문 향토5일시장,70,110,5925000,0,4,26,21,1058000,4867000,4216000,1709000,2017-02-16
2015,8,중문 향토5일시장,122,159,8054000,3,9,33,46,1727000,6327000,4473500,3580500,2017-02-16
2016,8,중문 향토5일시장,321,543,24873750,15,41,86,114,5095500,19778250,7833000,17040750,2017-02-16
